title,year,duration,genre,rating,movie_url
In the Name of the Father,1993,2h 13m,"Biography,Crime,Drama",8.1,https://www.imdb.com/title/tt0107207/
La haine,1995,1h 38m,"Crime,Drama",8.1,https://www.imdb.com/title/tt0113247/
Before Sunrise,1995,1h 41m,"Drama,Romance",8.1,https://www.imdb.com/title/tt0112471/
Fa yeung nin wah,2000,1h 38m,"Drama,Romance",8.1,https://www.imdb.com/title/tt0118694/
Trainspotting,1996,1h 33m,Drama,8.1,https://www.imdb.com/title/tt0117951/
The Truman Show,1998,1h 43m,"Comedy,Drama",8.1,https://www.imdb.com/title/tt0120382/
The Sixth Sense,1999,1h 47m,"Drama,Mystery,Thriller",8.1,https://www.imdb.com/title/tt0167404/
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,1h 27m,"Animation,Action,Drama",8.1,https://www.imdb.com/title/tt0169858/
Amores perros,2000,2h 34m,"Drama,Thriller",8.1,https://www.imdb.com/title/tt0245712/
Catch Me If You Can,2002,2h 21m,"Biography,Crime,Drama",8.1,https://www.imdb.com/title/tt0264464/
12 Years a Slave,2013,2h 14m,"Biography,Drama,History",8.1,https://www.imdb.com/title/tt2024544/
Rush,2013,2h 3m,"Action,Biography,Drama",8.1,https://www.imdb.com/title/tt1979320/
Kill Bill: Vol. 1,2003,1h 51m,"Action,Crime,Drama",8.1,https://www.imdb.com/title/tt0266697/
Gone Girl,2014,2h 29m,"Drama,Mystery,Thriller",8.1,https://www.imdb.com/title/tt2267998/
Relatos salvajes,2014,2h 2m,"Comedy,Drama,Thriller",8.1,https://www.imdb.com/title/tt3011894/
Room,2015,1h 58m,"Drama,Thriller",8.1,https://www.imdb.com/title/tt3170832/
Hacksaw Ridge,2016,2h 19m,"Biography,Drama,History",8.1,https://www.imdb.com/title/tt2119532/
Ah-ga-ssi,2016,2h 25m,"Drama,Romance,Thriller",8.1,https://www.imdb.com/title/tt4016934/
"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,"Comedy,Crime,Drama",8.1,https://www.imdb.com/title/tt5027774/
Logan,2017,2h 17m,"Action,Drama,Sci-Fi",8.1,https://www.imdb.com/title/tt3315342/
The Gold Rush,1925,1h 35m,"Adventure,Comedy,Drama",8.2,https://www.imdb.com/title/tt0015864/
The Treasure of the Sierra Madre,1948,2h 6m,"Adventure,Drama,Western",8.2,https://www.imdb.com/title/tt0040897/
Inside Out,2015,1h 35m,"Animation,Adventure,Comedy",8.1,https://www.imdb.com/title/tt2096673/
All About Eve,1950,2h 18m,Drama,8.2,https://www.imdb.com/title/tt0042192/
Rashômon,1950,1h 28m,"Crime,Drama,Mystery",8.2,https://www.imdb.com/title/tt0042876/
Tôkyô monogatari,1953,2h 16m,Drama,8.2,https://www.imdb.com/title/tt0046438/
Det sjunde inseglet,1957,1h 36m,"Drama,Fantasy",8.2,https://www.imdb.com/title/tt0050976/
Smultronstället,1957,1h 31m,"Drama,Romance",8.2,https://www.imdb.com/title/tt0050986/
Judgment at Nuremberg,1961,2h 59m,"Drama,War",8.2,https://www.imdb.com/title/tt0055031/
Yôjinbô,1961,1h 50m,"Action,Drama,Thriller",8.2,https://www.imdb.com/title/tt0055630/
To Kill a Mockingbird,1962,2h 9m,"Crime,Drama",8.2,https://www.imdb.com/title/tt0056592/
The Great Escape,1963,2h 52m,"Adventure,Drama,History",8.2,https://www.imdb.com/title/tt0057115/
Z,1969,2h 7m,"Crime,Drama,History",8.2,https://www.imdb.com/title/tt0065234/
Taxi Driver,1976,1h 54m,"Crime,Drama",8.2,https://www.imdb.com/title/tt0075314/
Chinatown,1974,2h 10m,"Drama,Mystery,Thriller",8.2,https://www.imdb.com/title/tt0071315/
Unforgiven,1992,2h 10m,"Drama,Western",8.2,https://www.imdb.com/title/tt0105695/
Raging Bull,1980,2h 9m,"Biography,Drama,Sport",8.2,https://www.imdb.com/title/tt0081398/
Höstsonaten,1978,1h 39m,"Drama,Music",8.2,https://www.imdb.com/title/tt0077711/
Ran,1985,2h 42m,"Action,Drama,War",8.2,https://www.imdb.com/title/tt0089881/
Casino,1995,2h 58m,"Crime,Drama",8.2,https://www.imdb.com/title/tt0112641/
Heat,1995,2h 50m,"Action,Crime,Drama",8.2,https://www.imdb.com/title/tt0113277/
Eskiya,1996,2h 8m,"Crime,Drama,Thriller",8.2,https://www.imdb.com/title/tt0116231/
A Beautiful Mind,2001,2h 15m,"Biography,Drama",8.2,https://www.imdb.com/title/tt0268978/
El laberinto del fauno,2006,1h 58m,"Drama,Fantasy,War",8.2,https://www.imdb.com/title/tt0457430/
